ScaleFO,ScaleRes,O1,O2,value,uncertainty
CV->FO,0p5MuHard->Res,dphi^0,lndphi^3,-33071.62215369355,250.81754303178786
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^3,-33016.17084205954,250.81844839662838
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^3,-33142.060564049796,250.83850290506302
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^3,-33009.026698086076,250.81754604310873
CV->FO,2C0_np->Res,dphi^0,lndphi^3,-32851.99328890424,250.75905337137556
CV->FO,2kappa_np->Res,dphi^0,lndphi^3,-33149.876549238266,250.78053243573842
CV->FO,2MuBeam->Res,dphi^0,lndphi^3,-33338.68784381577,250.58557276860364
CV->FO,2MuBF->Res,dphi^0,lndphi^3,-32959.2631750695,251.21822415468696
CV->FO,2MuCt->Res,dphi^0,lndphi^3,-33064.02510054908,250.92600383388393
CV->FO,2MuFac->Res,dphi^0,lndphi^3,-32681.004068390404,251.85988017042453
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^3,-32990.73158903328,260.0863145932495
CV->FO,2MuHard->Res,dphi^0,lndphi^3,-33025.9450513504,250.87302605707177
CV->FO,2MuSoft->Res,dphi^0,lndphi^3,-33199.512920206165,250.76563609816927
CV->FO,2NuBeam->Res,dphi^0,lndphi^3,-33007.90968205832,250.823997150613
CV->FO,2NuSoft->Res,dphi^0,lndphi^3,-33141.39797940797,250.83938717180754
0p5MuF->FO,CV->Res,dphi^0,lndphi^3,-33068.544144976724,281.55385684344185
0p5MuRF->FO,CV->Res,dphi^0,lndphi^3,-33062.838339956215,318.0772044729942
0p5MuR->FO,CV->Res,dphi^0,lndphi^3,-32884.228318920446,322.506488734333
2MuF->FO,CV->Res,dphi^0,lndphi^3,-32897.507331474946,272.72992506548366
2MuRF->FO,CV->Res,dphi^0,lndphi^3,-33022.238681549374,271.15187503588396
2MuR->FO,CV->Res,dphi^0,lndphi^3,-33089.27568769518,278.980626866062
CV->FO,CV->Res,dphi^0,lndphi^3,-33067.04769255458,250.86334152579337
CV->FO,0p5C0_np->Res,dphi^0,lndphi^4,141597.0214464004,2705.2781582954844
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^4,139948.18135675185,2704.7271428828503
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^4,141279.0594550859,2711.1756978178423
CV->FO,0p5MuBF->Res,dphi^0,lndphi^4,143389.71920097442,2708.461385954532
CV->FO,0p5MuCt->Res,dphi^0,lndphi^4,140345.27145196556,2704.861572848201
CV->FO,0p5MuFac->Res,dphi^0,lndphi^4,144562.97201139593,2707.8032914364053
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^4,141022.70807007322,2714.9789124268573
CV->FO,0p5MuHard->Res,dphi^0,lndphi^4,140346.389315577,2704.538489171646
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^4,140064.93218953995,2704.7546679952447
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^4,140746.76388527348,2704.728535326291
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^4,140101.12614608326,2704.848524085763
CV->FO,2C0_np->Res,dphi^0,lndphi^4,139181.59539918925,2704.2403681712235
CV->FO,2kappa_np->Res,dphi^0,lndphi^4,140768.7766941978,2704.540002289308
CV->FO,2MuBeam->Res,dphi^0,lndphi^4,141788.74197009884,2703.9352385025863
CV->FO,2MuBF->Res,dphi^0,lndphi^4,139893.61276855183,2706.232270507358
CV->FO,2MuCt->Res,dphi^0,lndphi^4,140378.1035121954,2704.9071777777285
CV->FO,2MuFac->Res,dphi^0,lndphi^4,138383.22680219065,2708.8225153942485
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^4,139969.58718194434,2742.688684101184
CV->FO,2MuHard->Res,dphi^0,lndphi^4,140149.10830676835,2704.5060097673304
CV->FO,2MuSoft->Res,dphi^0,lndphi^4,140983.4784011096,2704.4044137968667
CV->FO,2NuBeam->Res,dphi^0,lndphi^4,140076.59495243878,2704.8600766740665
CV->FO,2NuSoft->Res,dphi^0,lndphi^4,140735.34542272365,2704.6929681815673
0p5MuF->FO,CV->Res,dphi^0,lndphi^4,140666.12554901003,2726.1987817743825
0p5MuRF->FO,CV->Res,dphi^0,lndphi^4,139886.28608197282,3257.7094472523827
0p5MuR->FO,CV->Res,dphi^0,lndphi^4,138740.77600840045,3462.5229807871483
2MuF->FO,CV->Res,dphi^0,lndphi^4,139319.22447784408,2913.998515231662
2MuRF->FO,CV->Res,dphi^0,lndphi^4,140670.092583002,2613.3131278798587
2MuR->FO,CV->Res,dphi^0,lndphi^4,141338.9216111538,2570.6247832628237
CV->FO,CV->Res,dphi^0,lndphi^4,140394.50363526595,2704.7496758172156
CV->FO,0p5C0_np->Res,dphi^0,lndphi^5,-684137.1868465215,38001.73872794324
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^5,-674326.8314194065,38000.63960770774
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^5,-680508.980257008,38027.48693502064
CV->FO,0p5MuBF->Res,dphi^0,lndphi^5,-693624.2668927625,38016.46979998001
CV->FO,0p5MuCt->Res,dphi^0,lndphi^5,-676440.1288703094,38000.358280304295
CV->FO,0p5MuFac->Res,dphi^0,lndphi^5,-700766.5892947436,38017.373458201095
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^5,-683346.2957180309,38026.170424359305
CV->FO,0p5MuHard->Res,dphi^0,lndphi^5,-676261.6704330994,37999.792731619695
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^5,-673966.2061099685,38000.482698163636
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^5,-678986.4388585571,38001.0022223577
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^5,-675073.4607697956,38001.29673355634
CV->FO,2C0_np->Res,dphi^0,lndphi^5,-669173.41955317,37996.41224089765
CV->FO,2kappa_np->Res,dphi^0,lndphi^5,-678674.7025767235,37999.47648963473
CV->FO,2MuBeam->Res,dphi^0,lndphi^5,-684901.9500862241,37996.75443748227
CV->FO,2MuBF->Res,dphi^0,lndphi^5,-674447.8186290505,38007.70105735047
CV->FO,2MuCt->Res,dphi^0,lndphi^5,-677004.8858732756,38000.73651181166
CV->FO,2MuFac->Res,dphi^0,lndphi^5,-665022.4115169415,38020.68519089553
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^5,-674343.551746194,38194.9888596625
CV->FO,2MuHard->Res,dphi^0,lndphi^5,-675247.9640923718,37997.986488564544
CV->FO,2MuSoft->Res,dphi^0,lndphi^5,-679927.3472847851,37998.065811648914
CV->FO,2NuBeam->Res,dphi^0,lndphi^5,-674706.6759029885,38000.941472166414
CV->FO,2NuSoft->Res,dphi^0,lndphi^5,-678798.8146794304,38000.1807386966
0p5MuF->FO,CV->Res,dphi^0,lndphi^5,-686083.143604834,36075.50847855243
0p5MuRF->FO,CV->Res,dphi^0,lndphi^5,-667681.2422037525,44608.56820969396
0p5MuR->FO,CV->Res,dphi^0,lndphi^5,-655532.3959699462,48531.202456008905
2MuF->FO,CV->Res,dphi^0,lndphi^5,-667312.8256133873,40971.531371356505
2MuRF->FO,CV->Res,dphi^0,lndphi^5,-686288.4441658176,34737.22542275088
2MuR->FO,CV->Res,dphi^0,lndphi^5,-694134.5765379978,33222.116416988305
CV->FO,CV->Res,dphi^0,lndphi^5,-677115.7541823379,38000.54095733725
CV->FO,0p5C0_np->Res,dphi^1,lndphi^0,862.3410916801997,1.864111103695251
