dist,acc,ScaleFO,ScaleRes,bin_lo,bin_hi,density,uncertainty
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.57,1.58,24.90864,1.4790523021221924
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.58,1.59,25.847699999999996,1.4261680989553396
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.59,1.6,25.968129999999995,1.3892283639053327
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.6,1.61,24.054149999999996,1.361813490267062
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.61,1.62,24.777839999999998,1.4257697258813598
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.62,1.63,22.608410000000024,1.3750790383028515
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.63,1.64,20.569739999999996,1.3282049442915644
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.64,1.65,21.4014,1.2870560532611965
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.65,1.66,22.055699999999995,1.366065530933362
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.66,1.67,20.8815,1.3040708432773727
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.67,1.68,19.16547,1.2557797893823932
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.68,1.69,19.214809999999996,1.2516236977291368
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.69,1.7,21.120990000000003,1.1964592993204943
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.7,1.71,18.66434,1.1300655756767561
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.71,1.72,17.26606,1.0879398012371082
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.72,1.73,16.6208,1.1228516833862958
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.73,1.74,18.30632,1.1392370014848572
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.74,1.75,17.61872,1.0965634850901056
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.75,1.76,13.356730000000002,1.5692036203358055
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.76,1.77,17.10393,1.5319356118786451
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.77,1.78,16.28277,0.9926340017736894
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.78,1.79,14.50076,1.0101257960016659
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.79,1.8,14.34644,0.957364150890349
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.8,1.81,13.866340000000001,0.9035100428150696
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.81,1.82,15.787369999999997,0.9863394893696789
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.82,1.83,16.25163,1.048963269181819
